dataset,n,auc,accuracy,confidence,auc_drop,benign_acc,malignant_acc
HAM10000,10015,0.9477794689577613,0.8697953070394409,0.8963420802035748,0.0,0.8675488793514544,0.8813767670559312
ISIC2020,31126,0.6369448136339249,0.912741759300906,0.8937286907191194,0.3108346553238365,0.9246165418451777,0.25136612021857924
MILK10K,8234,0.6665012819880676,0.4182657274714598,0.8622034947702687,0.28127818696969376,0.9212070410729254,0.2130642954856361
Malignant-Benign,33992,0.7803357670045419,0.6489468110143564,0.8655667579998068,0.16744370195321945,0.927235294117647,0.3705273069679849
PH2,200,0.745,0.515,0.9265795541582338,0.20277946895776133,0.9875,0.2
