dataset,n,auc,accuracy,mean_confidence,brier_score,auc_drop_from_ham10000,benign_accuracy,malignant_accuracy
HAM10000,9815,0.9479346955586573,0.8698930208863984,0.8962855216871664,0.09169006808455127,0.0,0.867639902676399,0.8815047021943574
ISIC2020,32926,0.634825123609592,0.912622243819474,0.8936008899292812,0.07036723158668833,0.3131095719490653,0.9245347183577568,0.2482758620689655
MILK10K,10034,0.6677068852229915,0.42017141718158263,0.8624635944711222,0.4597955180185512,0.2802278103356658,0.921939477303989,0.21540836373842268
Malignant-Benign,34793,0.7798703732707901,0.6488661512373178,0.8655299883205485,0.26709798380425825,0.16806432228786716,0.9268390804597701,0.3707813488184902
PH2,200,0.745,0.515,0.9265795541582338,0.4216596619133709,0.20293469555865729,0.9875,0.2
