dataset,n_xai,zero_cam_count,n_valid,fap_05_mean,entropy_mean,confidence_mean,correct_rate,zero_cam_rate
HAM10000,9785,9274,511,0.057304862227425216,9.2626831629869,0.86900274219361,0.8454011741682974,0.9477772100153296
ISIC2020,32896,31026,1870,0.051727928387264,9.313934440204125,0.8798927933228454,0.9010695187165776,0.9431541828793775
MILK10K,10004,9384,620,0.05327103434619815,9.395159344349524,0.8581563119958798,0.4032258064516129,0.9380247900839664
Malignant-Benign,34763,32749,2014,0.05726742561318221,9.474306356781643,0.8504222014104819,0.6137040714995035,0.9420648390530162
PH2,170,159,11,0.08057818297773656,9.739492304153172,0.9087259958667512,0.7272727272727273,0.9352941176470588
