dataset,n,avg_jaccard_mean,min_jaccard_mean,max_jaccard_mean,correct_rate,confidence_mean
HAM10000,9795,0.46508199104625864,0.16273327004877688,0.8911875033291948,0.869933639612047,0.8962611683277556
ISIC2020,32906,0.38131162317186235,0.04653329836830987,0.873681772073748,0.912629915516927,0.8936232417976016
MILK10K,10014,0.4317051468809019,0.1074598742183603,0.8979526365669958,0.41981226283203515,0.8624612782597164
Malignant-Benign,34773,0.4501179205726118,0.13464444573152112,0.8973596523581541,0.6487792252609783,0.8655491104970585
PH2,180,0.3868371445062503,0.06812215890729811,0.8825631273471728,0.5111111111111111,0.9277205479549593
